,Customer_name,Rating,Review_Title,Review
0,maneshpreet26,5,Unforgettable experience..amazing staycation ever!!!,"We visited Grand Hyatt on the occasion of my sister's birthday. Right from the moment we entered the hotel, the staff made sure that the occasion is getting well celebrated. The reception team sent an amazing cake with a beautiful birthday card in the room. Later in the club, we had so much fun, there were drinks and food, everything was top notch. The entire hotel and club team is very friendly and efficient. Special appreciation to Zaki and Carolyn from the front reception team, they made sure that our overall stay is comfortable. Also want to appreciate Ashish and his team from the club as they made that evening memorable for us. Also want to appreciate Agnel and the staff from fifty five east restaurant, they made a lovely dish for my sister to make her birthday even more…"
1,Majnu gosavi,5,All about in love with grand Hyatt hotel,"तुम्हारी क्या तारीफ करू  तुम्ह ही तो तारीफ हो Everything is fabulous   Very good hotel in mumbai for solo, family, couples, party, function, business meeting, residency, isolation All staff is very responsible and careful   We are satisfied with food,room service, Landry,air condtion  service, cleaning, window view.   Special thanks and hats off to food team Faisal, vinod, john and team."
2,Akash Bhosale,5,Most Knowledgeable Trainer,"I was fascinated by the Diet and Exercise knowledge, Sachin sir shared with me. He is absolutely Knowledgeable and perfect trainer which everyone wants in the gym.  Cheers to fitness enthusiast-Sachin Surve sir. And Keep everyone healthy and Fit"
3,Mahek Dugar,5,A night stay at Grand Hyatt Mumbai,"absolutely loved the stay. amazing food, ambience, staff and hospitality. got a special dish from chef Nishad and team for a friend’s birthday which was fantastic. the breakfast was extraordinary. huge huge thanks to all the nice and helpful people for making our stay so memorable."
4,Jaslin,4,Staycation,I had booked Grand Hyatt Santacruz for Staycation for my friends' Birthday. The overall experience was good. Food and service at the Hotel was good. Due to COVID restrictions many places were shut and could not explore more. One can opt for a chill time with family and friends.
5,ashishindani,4,Small Staycation for break from routine schedule,"I found the Grand Hyatt as one of the best places to stay in the city. Despite being a large and renowned property, the staff is extremely courteous and the amenities are really well managed. The rooms are spacious, quite and comfortable. the walking space, restaurants and lobbies are filled with vibrant energy of the modern art and magnificence of architecture. It is a must visit place in Mumbai"
6,Richa Gore,5,"Excellent staycation at Grand hyatt, Santa Cruz with family....","We enjoyed our staycation at Grand hyatt for 3 nights four days with great hospitality . From the beginning of booking, till checkout , the best service was given to us by Miss Gayatri from front desk.Also would like to share Mr.Agnel D'Souza  taken care to get us best hospitality..and how we forget to mention Chef Nishad...eventhough in their busy schedules ...make a time to serve you best ,of our choice... Always given kids...what they love to have in breakfast...  Thank you so much .  We recommend all those who are planning trips...do book at Grand hyatt...  Best wishes to Ms Gayatri, Mr. Agnel Dsouza and team , & Chef Nishad and team💐  Grand hyatt team rocks...🎊🎊🎊"
7,AmithJp80,5,A surprising stay,"Stayed at GHM for a night and wished I had stayed longer. The FO team were quick to validate the stay and too polite which was nice. The room was wonderful and comfortable. And yes I used my phone as a digital key as well for a change. The room service though pricier than I would have liked was tasty. The room service was kind to assist with toiletries that I had missed as well the following morning. Breakfast was a breeze. A most wonderful team that ensured comfort. A big shot out to Chef Nishad and his lovely team of Jupa, Sandip, Karsh, Mohan, Kilen sumit, harsh, selvam, eric and benaz of the fnb that helped with a lavish breakfast spread. A perfect breakfast and a wonderful stay.   Definitely staying here only in future."
8,Mohit Mhambrey,5,Lavish experience with very helpful staff,"My stay at Hayatt with my family was amazing. Staff hosted us really well with great service. F&B, Front Desk and all the staff members really know how to fullfil our wish and keep us happy overall the stay was refreshing and joyful with no complaints thanks to the staff and management for great hospitality. Thanks again we'll see you soon in next visit"
9,Camilo Menezes,5,Fantabulous Staycation at Grand Hyatt Mumbai,"Our stay at the Grand Hyatt was an excellent break from being home for the last few months. It was additionally special as we were celebrating our pets 09th Birthday 🎂 and the property is pet friendly.. which is a blessing.. We stayed in the room with the patio which was splendid for our baby as he could just hop out for a walk 💛 A surprise cake made his day even more special 💜 Beyond the relaxing atmosphere, the next best part was the fantastic food and excellent service at the Fifty Five East Restaurant, the staff was very attentive, professional and friendly, chefs Nishad, Jupa, Sandip, Karsh, Mohan, Kilen, Sumit, Harsh, Selvom, Eric  and Benaz with team FnB and culinary! A special shout out to Chef Nishad and Guest Relations Officer Agnelo who made us feel special at…"
